"task_key","experiment","condition","state","replicate","data_seed","method","method_label","bandwidth_multiplier","ARI","affinity_sigma","objective","iterations","ifault","distance_seconds","clustering_seconds","error"
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,26400200,"Gower_SC","Gower",1,-0.00294265306987507,0.496763823959873,65.3103808389069,3,0,0.128000000000043,0.0900000000000318,NA
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,26400200,"Modified_Gower_SC","Modified Gower",1,-0.00239880823243006,0.447502231578721,67.0305250681824,2,0,2.10599999999999,0.0750000000000455,NA
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,26400200,"Euclidean_onehot_SC","Euclidean one-hot",1,-0.00279670672720693,13.0302572636431,60.6133709868079,2,0,1.19100000000003,0.0810000000000173,NA
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,26400200,"Ahmad_Dey_SC","Ahmad--Dey distance",1,-0.00184890702257043,0.444900099985639,64.4391237530338,2,0,0.0939999999999372,0.0760000000000218,NA
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,26400300,"Gated_active_average_SC","Gated active average",1,0.484961286089047,17.5454216689735,60.5952250032583,3,0,0.00399999999990541,0.244000000000028,NA
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,26400300,"Package_no_interaction_SC","Package no interaction",1,0.460615556620875,15.6197628985367,63.8993817158602,2,0,0.00300000000004275,0.0760000000000218,NA
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,26400300,"Gower_SC","Gower",1,0.366922185884683,0.491756290263064,69.9955252469842,3,0,0.129000000000019,0.0750000000000455,NA
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,26400300,"Modified_Gower_SC","Modified Gower",1,0.351616793212554,0.445835863480991,68.3988454063809,3,0,1.59100000000001,0.08299999999997,NA
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,26400300,"Euclidean_onehot_SC","Euclidean one-hot",1,0.448254424153091,13.0328775324933,65.335109214409,3,0,1.10399999999993,0.0640000000000782,NA
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,26400300,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.396408546191309,0.476145128223732,70.1910905333956,3,0,0.0950000000000273,0.0839999999999463,NA
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,26400300,"Gated_active_average_SC","Gated active average",1,0.379592871591467,15.607018838885,67.6759091846289,3,0,0.00399999999990541,0.0889999999999418,NA
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,26400300,"Package_no_interaction_SC","Package no interaction",1,0.379592871591467,15.607018838885,67.6759091846289,3,0,0.00400000000013279,0.0790000000001783,NA
