"scenario","param_adjacent_overlap","param_ar1_rho","param_categorical_accuracy","param_categorical_contamination","param_family","param_interaction_state","param_k","param_moon_noise_sd","param_n","param_n_per_moon","param_p_numeric","param_p_numeric_noise","param_p_numeric_signal","param_q_categorical","param_q_categorical_noise","param_q_categorical_signal","setting_id","prop_nn","rho","numeric_block_weight","method","method_label","affinity","attempted_replicates","successful_results","mean_ARI","median_ARI","sd_ARI","mcse_mean_ARI"
"submitted_sim1_balanced",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA,1,0.1,0.0666666666666667,1,"Gower_SC","Gower dissimilarity (spectral clustering)","gaussian",1,1,0.967029789105371,0.967029789105371,NA,NA
"submitted_sim1_balanced",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA,1,0.1,0.0666666666666667,1,"Gower_SC","Gower dissimilarity (spectral clustering)","selftune",1,1,1,1,NA,NA
"submitted_sim1_balanced",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA,1,0.1,0.0666666666666667,1,"KPrototypes","k-prototypes","not_applicable",1,1,1,1,NA,NA
"submitted_sim1_balanced",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA,1,0.1,0.0666666666666667,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","gaussian",1,1,1,1,NA,NA
"submitted_sim1_balanced",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA,1,0.1,0.0666666666666667,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","selftune",1,1,1,1,NA,NA
"submitted_sim1_balanced",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA,1,0.1,0.0666666666666667,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","gaussian",1,1,0.751489203276247,0.751489203276247,NA,NA
"submitted_sim1_balanced",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA,1,0.1,0.0666666666666667,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","selftune",1,1,0.773718005020271,0.773718005020271,NA,NA
"submitted_sim1_categorical_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","10","20",NA,NA,1,0.1,0.05,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,1,1,1,NA,NA
"submitted_sim1_categorical_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","10","20",NA,NA,1,0.1,0.05,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
"submitted_sim1_categorical_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","10","20",NA,NA,1,0.1,0.05,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",1,1,1,1,NA,NA
"submitted_sim1_categorical_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","10","20",NA,NA,1,0.1,0.05,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
"submitted_sim1_categorical_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","10","20",NA,NA,1,0.1,0.05,1,"DKSS_SC","DKSS dependency-aware dissimilarity (spectral clustering)","gaussian",1,1,0.711040929246236,0.711040929246236,NA,NA
"submitted_sim1_categorical_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","10","20",NA,NA,1,0.1,0.05,1,"DKSS_SC","DKSS dependency-aware dissimilarity (spectral clustering)","selftune",1,1,0.711040929246236,0.711040929246236,NA,NA
"submitted_sim1_categorical_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","10","20",NA,NA,1,0.1,0.05,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","gaussian",1,1,1,1,NA,NA
"submitted_sim1_categorical_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","10","20",NA,NA,1,0.1,0.05,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","selftune",1,1,1,1,NA,NA
"submitted_sim1_categorical_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","10","20",NA,NA,1,0.1,0.05,1,"Gower_SC","Gower dissimilarity (spectral clustering)","gaussian",1,1,0.711040929246236,0.711040929246236,NA,NA
"submitted_sim1_categorical_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","10","20",NA,NA,1,0.1,0.05,1,"Gower_SC","Gower dissimilarity (spectral clustering)","selftune",1,1,1,1,NA,NA
"submitted_sim1_categorical_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","10","20",NA,NA,1,0.1,0.05,1,"KPrototypes","k-prototypes","not_applicable",1,1,1,1,NA,NA
"submitted_sim1_categorical_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","10","20",NA,NA,1,0.1,0.05,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","gaussian",1,1,0.711040929246236,0.711040929246236,NA,NA
"submitted_sim1_categorical_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","10","20",NA,NA,1,0.1,0.05,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","selftune",1,1,1,1,NA,NA
"submitted_sim1_categorical_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","10","20",NA,NA,1,0.1,0.05,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","gaussian",1,1,0.692804353122716,0.692804353122716,NA,NA
"submitted_sim1_categorical_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","10","20",NA,NA,1,0.1,0.05,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","selftune",1,1,0.711040929246236,0.711040929246236,NA,NA
"submitted_sim1_numeric_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","20","10",NA,NA,1,0.1,0.1,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,1,0.665632181938778,0.665632181938778,NA,NA
"submitted_sim1_numeric_dominant",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","20","10",NA,NA,1,0.1,0.1,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
