"task_id","scenario","condition_id","replicate","data_seed","setting_id","n","k","prop_nn","rho","numeric_block_weight","method","method_label","affinity","ARI","objective","iterations","ifault","affinity_scale","affinity_neighbor_rank","distance_seconds","clustering_seconds","error","param_adjacent_overlap","param_ar1_rho","param_categorical_accuracy","param_categorical_contamination","param_family","param_interaction_state","param_k","param_moon_noise_sd","param_n","param_n_per_moon","param_p_numeric_noise","param_p_numeric_signal","param_q_categorical_noise","param_q_categorical_signal"
851,"pi_nn_sensitivity",1,1,26991901,2,36,6,0.05,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1.332623213191,2,0,1.39331321985307,7,1.951,0.0140000000000011,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,2,36,6,0.05,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",0.398190045248869,8.95937202056641,3,0,1.99342045615684,NA,1.951,0.00699999999999967,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,2,36,6,0.05,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,3.23519518764118,3,0,1.12923046066932,7,1.951,0.0120000000000005,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,3,36,6,0.1,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,5.59539413734001,2,0,2.46962269125213,NA,0.888999999999999,0.0080000000000009,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,3,36,6,0.1,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1.29667634468409,2,0,1.41414655318641,7,0.888999999999999,0.00899999999999856,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,3,36,6,0.1,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",0.398190045248869,8.95937202056641,3,0,1.99342045615684,NA,0.888999999999999,0.00699999999999967,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,3,36,6,0.1,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,3.23519518764118,3,0,1.12923046066932,7,0.888999999999999,0.011000000000001,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,4,36,6,0.2,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,5.59610810159253,2,0,2.45175378949017,NA,1.026,0.00599999999999845,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,4,36,6,0.2,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1.32558539774635,2,0,1.40928529833804,7,1.026,0.00900000000000034,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,4,36,6,0.2,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",0.398190045248869,8.95937202056641,3,0,1.99342045615684,NA,1.026,0.097999999999999,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,4,36,6,0.2,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,3.23519518764118,3,0,1.12923046066932,7,1.026,0.0200000000000014,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
